topic,name,weight,note,image_name
绝代双骄,碧蛇神君,0.00511299,生肖蛇，号食鹿之君，前期出埸，十二星相中最阴毒、最狡猾的一人。结局被猫头鹰所杀。,
绝代双骄,神锡道长,0.0027638,峨嵋掌门。,
绝代双骄,胡药师,0.0027638,生肖兔，号捣药，最后成为铁萍姑之夫，独门武功锁子缩骨功。是十二星相唯一美好收场之人。,
绝代双骄,花无缺,0.0516141,小鱼儿的孪生兄弟，移花宫传人，也是宫中唯一的男人，被两位移花宫宫主授予超卓武功，一手〈移花接玉〉的神奇武功令武林同道肃然起敬，深深拜服。外表被路仲远认为和当年的“天下第一美男子”、“玉郎”江枫长得一模一样，同时承传了移花宫主的风华气质，貌若天神。智勇兼备，揭破燕南天藏宝图的阴谋，加上恩威并施，使他迅速在江湖上成名。,
绝代双骄,花月奴,0.00715974,绣玉谷移花宫的宫女。江枫受伤被救到移花宫的期间，和花月奴暗生情愫，从移花宫逃离私奔，并产下江小鱼与花无缺。最后被邀月杀死。,
绝代双骄,苏樱,0.0176245,因外貌神情与绝世美女移花宫主神似，自幼被十二星象之首魏无牙收为养女。苏樱不只有绝代的容貌，更有超凡的医术与机关术，除此之外不能不提的，就是她的智慧与机灵。即使因不屑习武而手无缚鸡之力，但无论面对高人一等的移花宫传人花无缺，或是卑鄙狡诈的小鱼儿死对头江玉郎，都能以智取胜轻松应付。钟情于小鱼儿，为了小鱼儿能徒手爬上峭壁甚至同跃深渊，与小鱼儿心有灵犀，并知所进退，常有令人莞尔的互动情节。,
绝代双骄,荷露,0.00384303,移花宫宫女，是一个清冷骄傲的女子，并是移花宫女子的典型——固然美丽聪敏，却少了许多常人的生气和感情。,
绝代双骄,萧咪咪,0.0149434,外号“迷死人不赔命”，爱穿绿衫的年轻少妇，其实已经三十七岁。喜欢收集男宠成为她的“皇后”，包括江玉郎和小鱼儿，江湖上不少名门弟子拜倒她裙下，连“二十四孝”孝子贤孙都会被她骗得弑父弑母。七大剑派的每个情郎都教她几招武功，所以她的武艺尽管算不上绝顶高手，但也离不远了。她偶然发现了一个地下宫殿，还差点得到小鱼儿从地下宫殿秘室中拾得的“天下五绝”所创神功，却最后被小鱼儿以机关引水入殿，困在地下宫殿中溺死。,
绝代双骄,赵全海,0.0027638,外号“气拔山河铜拳铁掌震中洲”，西河十七家镖局的联盟总镖头。,
绝代双骄,路仲远,0.0250181,天性好武、精研剑法，而且内力有独到之处深厚无比，终年闯荡江湖，奔波劳苦，从来也未能领略到儿女柔情的滋味，名号为“南天大侠”。燕南天授以独创绝学〈神剑诀〉，之后借用燕南天之名复出江湖，震慑恶人谷众人并寻找小鱼儿，最终死于江别鹤之子江玉郎的诡计暗算之下。,
绝代双骄,轩辕三光,0.0105713,外号“恶赌鬼”，遇上恶赌鬼，不赌也得赌。面如锅底，满脸络腮大胡子，一双眉毛像是两根板刷，眼睛却像是一只铜铃，他眼睛已只剩下一只，左眼上罩着个黑印罩子，却更增加了他的彪悍、凶猛之气，也增加了几分神秘的魅力。嗜赌如命，喜欢迫人和他打赌，一只眼睛也赌输了剜掉，江湖上赌徒传说“遇到轩辕三光是倒大楣，非赌个天光、钱光、人也光才收手。”为人却是条豪爽磊落的汉子，赢时不羁豪快，输也输干干脆脆，愿赌服输。是四川人，经常一口“龟儿子”四川粗话的骂人，但输钱输命不输品。武功在十大恶人中算得上极强，甚至可能不逊于杜杀；但被江南大侠江别鹤折服，未战而认输。,
绝代双骄,邀月,0.00385034,绣玉谷移花宫的大宫主，与生俱来便带着一种慑人的魔力，不可抗拒的魔力，她似乎永远高高在上，令人不可仰视！其性格如火似冰，利剑锋芒，是鬼又是神。她是一个绝世美人，拥有绝顶美丽的脸和一双明亮的眼睛，而且气质出尘，绝代风华。她的声音灵动、缥缈，不可捉摸，虽然语调冷漠、无情，令人战栗，却又清柔、娇美，摄人魂魄。她轻功傲世，听力超绝，会冠绝天下的掌法〈移花接玉〉，因练成内家正宗的绝顶心法〈明玉功〉第九层不但越来越年轻得以青春常驻，还使她冰一样苍白冷酷的脸上出现玉一般晶莹柔润的光。,
绝代双骄,邱清波,0.0027638,邱清波七爷，枪法世家“浙东邱门”掌门人。,
绝代双骄,铁心兰,0.0470072,狂狮铁战之女，自幼飘零，孤身闯荡江湖寻找父亲铁战下落。故事的女主角，联系双骄的首要枢纽人物，同时使小鱼儿和花无缺倾心的女子。心地纯洁无瑕，淳朴美丽，待人至真至善，温柔大方。侠骨柔肠，英姿飒爽，没有小女子的娇弱和骄矜，却比无数男子更磊落坦荡，这对小鱼儿和花无缺是特别动人心弦的魅力。行事皆凭赤子之心，义字当头，无偿付出。,
绝代双骄,铁战,0.0027638,外号“狂狮”，身形异常宽大，为铁心兰之父。本性不恶，但因每每和人比武都是拼命，发起狂来是六亲不认，见人就打，过程就往往伤及无辜，最后名列十大恶人之一，却连十大恶人都不想与之扯上关系。本来武功在十大恶人中还逊于杜杀、屠娇娇、轩辕三光等人，只以狂性压倒众人；但后来到了无名岛，被几个隐世高手看中这种不要命的性格，传授他一身武技，令他成为十大恶人武功之首。,
绝代双骄,铁无双,0.00439007,铁家庄庄主。,
绝代双骄,铁萍姑,0.0209547,移花宫叛徒，曾救小鱼儿出邀月手中。小鱼儿待她极好，她却受江玉郎欺骗失身于他。江玉郎在白山君手下受尽侮辱，她为了江玉郎受要挟，不惜脱光身子引诱小鱼儿中计，最后她​​被江玉郎抛弃，心灰意冷，和日久生情的十二星相胡药师在一起。故事最后才知道她是李大嘴的亲生女儿。,
绝代双骄,阴九幽,0.00439007,外号“半人半鬼”，轻功极高，擅于扮鬼，暗算少林俗家弟子李大元后，被少林方丈囚在阴冥谷底，却奇迹地逃了出来。小鱼儿在江湖上经常扮鬼吓退敌人，其维妙维肖、装得阴森莫测便是得他真传。从不喝酒，不能人道，只能以绝顶轻功偷窥别人行房为乐。与白开心合谋杀害其他人，和马亦云合伙欺骗李大嘴后，却被濒死的李大嘴反扑而死。,
绝代双骄,顾人玉,0.049216,“玉面神拳”。大块头，为人却老实䩄腆，动辄就脸红过耳。家传顾家神拳练得稳打稳扎，跟张菁快速轻灵的掌法正是互补不足。一开始受母命追求慕容九，但一路闯荡江湖，和张菁渐生情愫，二人终成眷属。,
绝代双骄,马亦云,0.00966525,生肖马，号踏雪，白山君之妻，后来改嫁给白开心，害死十大恶人的罪魁祸首。结局被白开心断颈杀害。。,
绝代双骄,魏无牙,0.00511299,生肖鼠，号无牙，十二星相实际的首领，苏樱养父，武功极高，后期出场，最后自尽身亡。,
绝代双骄,黄牛,0.0149434,生肖牛，号运粮，	在慕容九妹秘密练功之冰洞外与白羊一同出场，十二星相中最勇。最终被小鱼儿毒死。,
绝代双骄,黄鸡大师,0.0027638,五台山鸡鸣寺。,
绝代双骄,黑犬星,0.00971616,生肖狗，号迎客，共六七人，被燕南天所杀。,
绝代双骄,黑蜘蛛,0.0027638,一身黑色紧身衣，轻功一绝，在腕上有机括可射出南海神蛛的千年蛛丝。一手“银丝飞渡”能飞檐走壁。自视甚高，喜欢当大哥。苦恋慕容九，却只敢遥遥观望；直至慕容九流浪江湖，才拼了性命地保护她。二人最终战胜门第之见，结成眷属悄然隐居。,
绝代双骄,黑面君,0.00329757,生肖猪，号黑面，被怜星宫主移花接玉功夫所杀。,
绝代双骄,龙,0.0027638,生肖龙，号四灵之首，名字不详，仅在对话中提及，是十二星相之首。结局不明。,
